obsid|cl1|cl2|T
5008057|1.0|4.0|
5008191|1.0|4.0|
5009194|1.0|4.0|
5009208|1.0|4.0|
5010148|1.0|4.0|
5011115|0.0|4.0|
5011168|1.0|4.0|
5014100|1.0|4.0|
5014112|1.0|4.0|
5014121|1.0|4.0|
5014228|1.0|4.0|
5016194|0.0|4.0|
5103049|1.0|4.0|
5103127|1.0|4.0|
5104082|0.0|4.0|
5104153|1.0|4.0|
5106233|1.0|4.0|
5107044|1.0|4.0|
5107156|1.0|4.0|
5107199|1.0|4.0|
5108113|0.0|4.0|
5108172|0.0|4.0|
5110074|2.0|4.0|
5110116|1.0|4.0|
5110143|1.0|4.0|
5111018|1.0|4.0|
5111193|2.0|4.0|
5113216|1.0|4.0|
5114122|1.0|4.0|
5114225|1.0|4.0|
5115017|0.0|4.0|
5115090|0.0|4.0|
5116047|0.0|4.0|
5116052|1.0|4.0|
5116065|1.0|4.0|
5116111|0.0|4.0|
5203107|2.0|4.0|
5203120|1.0|4.0|
5204055|1.0|4.0|
5204117|1.0|4.0|
5207136|0.0|4.0|
5209002|1.0|4.0|
5209011|0.0|4.0|
5209132|1.0|4.0|
5209149|1.0|4.0|
5211080|1.0|4.0|
5212140|0.0|4.0|
5212206|1.0|4.0|
5212208|1.0|4.0|
5212240|0.0|4.0|
5213005|0.0|4.0|
5213011|2.0|4.0|
5215004|0.0|4.0|
5215016|1.0|4.0|
5215118|1.0|4.0|
5216043|0.0|4.0|
5216053|1.0|4.0|
5216184|1.0|4.0|
5216220|1.0|4.0|
5303135|1.0|4.0|
5303166|1.0|4.0|
5306083|1.0|4.0|
5307024|1.0|4.0|
5310178|1.0|4.0|
5311009|1.0|4.0|
5311162|1.0|4.0|
6604200|1.0|4.0|
6605120|2.0|4.0|
6605191|1.0|4.0|
6607240|1.0|4.0|
6608093|1.0|4.0|
6611212|1.0|4.0|
6613078|1.0|4.0|
6616028|1.0|4.0|
6616222|1.0|4.0|
6701049|2.0|4.0|
6701052|2.0|4.0|
6702090|2.0|4.0|
6702194|2.0|4.0|
6704112|2.0|4.0|
6704117|2.0|4.0|
6704126|2.0|4.0|
6704224|2.0|4.0|
6705234|2.0|4.0|
6706008|2.0|4.0|
6706011|2.0|4.0|
6706075|0.0|4.0|
6706210|1.0|4.0|
6708040|2.0|4.0|
6708087|2.0|4.0|
6708115|2.0|4.0|
6708195|2.0|4.0|
6708211|2.0|4.0|
6710003|0.0|4.0|
6711002|2.0|4.0|
6712014|2.0|4.0|
6712089|2.0|4.0|
6712096|2.0|4.0|
6712186|2.0|4.0|
6714005|2.0|4.0|
6715019|2.0|4.0|
6715050|2.0|4.0|
6715090|2.0|4.0|
6716196|2.0|4.0|
